Grallaria sinaensis,
Grallaria cochabambae,
Grallaria alvarezi,
Grallaria saturata,
Grallaria cajamarcae,
Grallaria gravesi,
Grallaria oneilli,
Grallaria obscura,
Grallaricula cucullata,
Grallaricula leymebambae,
Hylopezus whittakeri,
Myrmothera subcanescens,
Cercomacroides fuscicauda,
Pyriglena maura,
Pyriglena similis,
Herpsilochmus frater,
Formicivora intermedia,
Terenura sicki,
Thamnistes rufescens,
Conopophaga snethlageae,
Myiopagis cotta,
Elaenia brachyptera,
Euscarthmus fulviceps,
Zimmerius petersi,
Zimmerius improbus,
Pyrocephalus nanus,
Ochthoeca thoracica,
Ochthoeca nigrita,
Ochthoeca superciliosa,
Phylloscartes flaviventris,
Tolmomyias flavotectus,
Mionectes roraimae,
Schiffornis olivacea,
Tityra leucura,
Machaeropterus striolatus,
Machaeropterus eckelberryi,
Erythropitta rubrinucha,
Erythropitta erythrogaster,
Pitta megarhyncha,
Pitta novaeguineae,
Pitta concinna,
Erythropitta macklotii,
Pitta vigorsii,
Hydrornis schneideri,
Hydrornis irena,
Calyptomena hosii,
Sarcophanops samarensis,
Neodrepanis hypoxantha,
Philepitta schlegeli,
Zosterops hypolais,
Zosterops kuehni,
Zosterops anomalus,
Zosterops meeki,
Zosterops mysorensis,
Zosterops somadikartai,
Zosterops nehrkorni,
Zosterops flavus,
Zosterops consobrinorum,
Rukia longirostra,
Rukia ruki,
Zosterops aldabrensis,
Zosterops comorensis,
Zosterops ponapensis,
Zosterops stuhlmanni,
Zosterops flavissimus,
Zosterops tetiparius,
Zosterops melanurus,
Zosterops anderssoni,
Zosterops anjuanensis,
Zosterops auriventer,
Vini diadema,
Loriculus camiguinensis,
Loriculus flosculus,
Cyanoramphus zealandicus,
Cyanoramphus ulietanus,
Tanygnathus gramineus,
Tanygnathus everetti,
Eclectus infectus,
Eclectus riedeli,
Coracopsis sibilans,
Psittacara labati,
Psittacara maugei,
Ara tricolor,
Amazona martinicana,
Amazona violacea,
Poicephalus robustus,
Poicephalus crassus,
Nestor productus,
Lophopsittacus bensoni,
Lophopsittacus mauritianus,
Falco duboisi,
Caracara lutosa,
Buteo socotraensis,
Tachyspiza erythrauchen,
Tachyspiza henicogramma,
Tachyspiza rhodogaster,
Tachyspiza brachyura,
Tachyspiza princeps,
Tachyspiza luteoschistacea,
Tachyspiza butleri,
Tachyspiza trinotata,
Lophospiza griseiceps,
Tachyspiza albogularis,
Tachyspiza nanus,
Astur chilensis,
Circaetus beaudouini,
Spilornis kinabaluensis,
Spilornis klossi,
Leptodon forbesi,
Aviceda jerdoni,
Aviceda madagascariensis,
Polyboroides radiatus,
Strix mauritanica,
Strix huhula,
Strix albitarsis,
Strix fulvescens,
Strix seloputo,
Strix ocellata,
Strix hylophila,
Strix chacoensis,
Strix nivicolum,
Strix hadorami,
Megascops centralis,
Megascops seductus,
Megascops gilesi,
Scotopelia ussheri,
Scotopelia bouvieri,
Asio stygius,
Asio madagascariensis,
Asio abyssinicus,
Otus scops,
Bubo magellanicus,
Ketupa blakistoni,
Ketupa sumatrana,
Ketupa philippensis,
Ketupa coromanda,
Ketupa leucosticta,
Ketupa shelleyi,
