Telophorus multicolor,
Telophorus kupeensis,
Telophorus olivaceus,
Aegithina nigrolutea,
Aegithina viridissima,
Batis margaritae,
Batis fratrum,
Batis ituriensis,
Batis perkeo,
Batis minulla,
Batis orientalis,
Batis minima,
Tephrodornis sylvicola,
Tephrodornis affinis,
Prionops rufiventris,
Prionops poliolophus,
Prionops gabela,
Prionops caniceps,
Prionops alberti,
Artamus monachus,
Artamus mentalis,
Artamus insignis,
Campephaga quiscalina,
Lobotos lobatus,
Lalage aurea,
Lalage conjuncta,
Lalage moesta,
Coracina javensis,
Coracina fortis,
Coracina dobsoni,
Coracina personata,
Coracina cucullata,
Cinclosoma clarum,
Yuhina humilis,
Myzomela nigriventris,
Gerygone hypoxantha,
Sericornis magnirostra,
Amytornis rowleyi,
Amytornis whitei,
Climacteris affinis,
Menura alberti,
Cranioleuca dissita,
Thripophaga amacurensis,
Synallaxis beverlyae,
Synallaxis chinchipensis,
Cichlocolaptes mazarbarnetti,
Philydor novaesi,
Automolus exsertus,
Lepidocolaptes fuscicapillus,
Lepidocolaptes fatimalimae,
Lepidocolaptes duidae,
Sclerurus obscurior,
Formicarius moniliger,
Scytalopus simonsi,
Scytalopus frankeae,
Scytalopus whitneyi,
Scytalopus androstictus,
Scytalopus krabbei,
Scytalopus intermedius,
Scytalopus alvarezlopezi,
Grallaria urraoensis,
Grallaria spatiator,
Grallaria saltuensis,
Grallaria centralis,
Grallaria ayacuchensis,
Grallaria occabambae,
Grallaria sinaensis,
Grallaria cochabambae,
Grallaria alvarezi,
Grallaria saturata,
Grallaria cajamarcae,
Grallaria gravesi,
Grallaria oneilli,
Grallaria obscura,
Grallaricula cucullata,
Grallaricula leymebambae,
Hylopezus whittakeri,
Myrmothera subcanescens,
Cercomacroides fuscicauda,
Pyriglena maura,
Pyriglena similis,
Herpsilochmus frater,
Terenura sicki,
Thamnistes rufescens,
Myiopagis cotta,
Elaenia brachyptera,
Euscarthmus fulviceps,
Zimmerius petersi,
Zimmerius improbus,
Pyrocephalus nanus,
Phylloscartes flaviventris,
Mionectes roraimae,
Schiffornis olivacea,
Machaeropterus striolatus,
Machaeropterus eckelberryi,
Erythropitta novaehibernicae,
Erythropitta palliceps,
Erythropitta rufiventris,
Erythropitta gazellae,
Erythropitta caeruleitorques,
Pitta megarhyncha,
Pitta concinna,
Pitta vigorsii,
Hydrornis schneideri,
Hydrornis irena,
Calyptomena hosii,
Sarcophanops samarensis,
Neodrepanis hypoxantha,
Philepitta schlegeli,
Zosterops hypolais,
Zosterops kuehni,
Zosterops anomalus,
Zosterops meeki,
Zosterops mysorensis,
Zosterops somadikartai,
Zosterops nehrkorni,
Zosterops flavus,
Zosterops consobrinorum,
Rukia longirostra,
Rukia ruki,
Zosterops aldabrensis,
Zosterops comorensis,
